hour,sentiment_3class,tweet_count,avg_polarity
0,Negative,2748,-0.3587111182620222
0,Neutral,5261,0.00010911431188848452
0,Positive,6104,0.4150618919993727
1,Negative,2603,-0.3624399857298102
1,Neutral,4996,0.00030949485791796497
1,Positive,5795,0.4147424741254086
2,Negative,2365,-0.36444675239892477
2,Neutral,5046,0.0002823185761094502
2,Positive,5795,0.40923791016664907
3,Negative,2355,-0.3566478927585339
3,Neutral,4904,-0.00013850449495421687
3,Positive,5831,0.4077719404383046
4,Negative,2356,-0.3546853615228264
4,Neutral,4866,0.00010726586731968478
4,Positive,5576,0.40822596113584814
5,Negative,2464,-0.3636371867804331
5,Neutral,4648,0.0001092132244055788
5,Positive,5409,0.4118382689804182
6,Negative,2480,-0.35904193516269656
6,Neutral,5022,-0.00012810834666100913
6,Positive,5561,0.42042634606623985
7,Negative,2751,-0.3629328338671559
7,Neutral,5291,7.341609741163319e-05
7,Positive,5849,0.4139719971592888
8,Negative,1755,-0.36585770531485895
8,Neutral,3506,-0.00012279485639885663
8,Positive,3799,0.42054812383100865
9,Negative,1060,-0.36301542217737265
9,Neutral,2072,0.0004986310322526843
9,Positive,2461,0.43032665384547397
10,Negative,1259,-0.33586483566213826
10,Neutral,2629,2.4382227453737578e-05
10,Positive,2979,0.42634418645168976
11,Negative,1159,-0.3499131380984314
11,Neutral,2479,0.0002764611474965954
11,Positive,2925,0.41311568300935075
12,Negative,655,-0.36609618636952
12,Neutral,1232,-0.00032592977036716863
12,Positive,1220,0.399334658110613
13,Negative,402,-0.37797403018587833
13,Neutral,700,-0.0005141456551054761
13,Positive,696,0.401678695801782
14,Negative,424,-0.37056725794166046
14,Neutral,699,3.577828148643524e-06
14,Positive,682,0.38556421805544194
15,Negative,374,-0.35866488158030857
15,Neutral,641,0.0001748844304421527
15,Positive,612,0.37876916714976405
16,Negative,478,-0.3724970679662838
16,Neutral,795,0.0001944455788795412
16,Positive,790,0.38368767835991646
17,Negative,538,-0.3739388522760073
17,Neutral,850,-0.0001554341559856265
17,Positive,827,0.4125843660228178
18,Negative,689,-0.36023409309518595
18,Neutral,1283,0.0007421625162332977
18,Positive,1477,0.4236776564731563
19,Negative,986,-0.3752668749228202
19,Neutral,1906,9.579542118645628e-05
19,Positive,2044,0.4158938886024097
20,Negative,1524,-0.3666506233117492
20,Neutral,2892,0.00016203215460460686
20,Positive,3150,0.40565866703606523
21,Negative,2165,-0.36767072651315036
21,Neutral,3930,2.5760791691434217e-06
21,Positive,4198,0.413680829221378
22,Negative,2597,-0.35282938148572757
22,Neutral,4376,8.697879750153271e-05
22,Positive,5151,0.411407824031572
23,Negative,2925,-0.3560431500814258
23,Neutral,5556,0.00016099838044212814
23,Positive,6377,0.4133560000063277
